GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenPOS,com.bizstudio.xmpp.enums,XmppPayloadAction,28,0,0,0,2,0,4,0,4,0
OpenPOS,com.bizstudio.security.service,BasicIniEnvironment,16,0,0,0,5,0,2,0,2,0
OpenPOS,com.bizstudio.security.service,PersistenceManger.PersistenceMangerHolder,3,6,0,0,1,1,1,1,1,1
OpenPOS,com.bizstudio.security.service,PinToken,160,0,12,0,41,0,25,0,19,0
OpenPOS,com.bizstudio.security.service,SecurityService,284,336,45,29,60,81,44,15,8,14
OpenPOS,com.bizstudio.security.service,PersistenceManger,0,19,0,0,0,7,0,4,0,4
OpenPOS,com.bizstudio.application.enums,NavigationRoute,79,0,0,0,10,0,5,0,5,0
OpenPOS,com.bizstudio.application.enums,NotificationType,58,0,0,0,2,0,4,0,4,0
OpenPOS,com.bizstudio.application.enums,PageState,48,0,0,0,4,0,4,0,4,0
OpenPOS,com.bizstudio.application.enums,NotificationState,48,0,0,0,2,0,4,0,4,0
